ticker,date,temperature_2m_max,temperature_2m_min,dewpoint_2m_mean,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max,wind_direction_10m_dominant,precipitation_sum,snowfall_sum
KXHIGHTOKC,2024-11-01,72.6,47.6,47.6,977.1,47,10.2,143,0.0,0.0
KXHIGHTOKC,2024-11-02,69.9,62.1,61.4,973.8,100,15.5,151,0.594,0.0
KXHIGHTOKC,2024-11-03,69.3,63.5,63.9,964.5,81,17.4,172,1.642,0.0
KXHIGHTOKC,2024-11-04,70.2,57.7,59.3,962.8,75,17.0,191,1.858,0.0
KXHIGHTOKC,2024-11-05,61.1,49.9,48.2,966.2,34,11.3,277,0.0,0.0
KXHIGHTOKC,2024-11-06,65.8,46.8,46.9,971.7,0,11.3,111,0.0,0.0
KXHIGHTOKC,2024-11-07,66.5,48.7,50.8,977.0,37,13.3,55,0.697,0.0
KXHIGHTOKC,2024-11-08,64.7,53.4,57.3,972.2,91,18.7,112,0.665,0.0
KXHIGHTOKC,2024-11-09,62.7,43.4,40.2,971.3,0,13.3,210,0.0,0.0
KXHIGHTOKC,2024-11-10,65.0,46.0,44.3,972.9,0,10.2,281,0.0,0.0
KXHIGHTOKC,2024-11-11,69.3,45.0,47.9,974.5,43,7.4,186,0.0,0.0
KXHIGHTOKC,2024-11-12,67.3,51.3,49.0,972.3,80,11.2,150,0.0,0.0
KXHIGHTOKC,2024-11-13,60.8,52.4,45.9,970.4,42,13.6,252,0.008,0.0
KXHIGHTOKC,2024-11-14,62.6,41.1,39.4,976.0,0,6.6,238,0.0,0.0
KXHIGHTOKC,2024-11-15,63.8,45.7,40.0,973.0,0,11.2,164,0.0,0.0
KXHIGHTOKC,2024-11-16,66.5,51.5,48.5,967.4,58,13.8,175,0.0,0.0
KXHIGHTOKC,2024-11-17,69.5,59.1,59.5,967.5,95,12.0,173,0.126,0.0
KXHIGHTOKC,2024-11-18,68.6,55.8,57.9,956.6,66,21.9,182,1.654,0.0
KXHIGHTOKC,2024-11-19,60.5,46.8,45.0,965.9,0,12.4,332,0.0,0.0
KXHIGHTOKC,2024-11-20,52.7,39.5,30.4,981.2,7,8.9,297,0.0,0.0
KXHIGHTOKC,2024-11-21,52.4,41.4,31.8,980.6,0,7.3,307,0.0,0.0
KXHIGHTOKC,2024-11-22,55.3,35.8,35.0,978.8,15,5.5,95,0.0,0.0
KXHIGHTOKC,2024-11-23,63.4,43.3,40.4,971.9,27,14.8,176,0.0,0.0
KXHIGHTOKC,2024-11-24,70.2,55.9,51.4,964.2,21,15.1,200,0.0,0.0
KXHIGHTOKC,2024-11-25,61.4,37.9,35.7,977.1,55,16.5,349,0.0,0.0
KXHIGHTOKC,2024-11-26,50.6,30.3,29.5,977.9,59,11.0,171,0.0,0.0
KXHIGHTOKC,2024-11-27,55.3,41.5,40.2,965.7,99,15.2,302,0.0,0.0
KXHIGHTOKC,2024-11-28,42.6,31.3,27.9,980.3,14,12.9,354,0.0,0.0
KXHIGHTOKC,2024-11-29,47.0,29.0,26.3,983.3,0,7.9,181,0.0,0.0
KXHIGHTOKC,2024-11-30,52.2,37.1,30.2,978.4,1,12.0,222,0.0,0.0
KXHIGHTOKC,2024-12-01,48.8,30.4,33.5,982.4,7,5.2,33,0.0,0.0
KXHIGHTOKC,2024-12-02,48.7,34.6,31.4,986.0,0,7.6,5,0.0,0.0
KXHIGHTOKC,2024-12-03,48.7,26.0,26.6,987.1,0,9.5,159,0.0,0.0
KXHIGHTOKC,2024-12-04,57.9,43.2,37.8,977.9,21,10.5,232,0.0,0.0
KXHIGHTOKC,2024-12-05,46.2,31.4,19.0,985.9,8,10.2,25,0.0,0.0
KXHIGHTOKC,2024-12-06,47.8,27.0,16.8,985.3,59,9.8,194,0.0,0.0
KXHIGHTOKC,2024-12-07,57.1,39.2,29.7,979.8,21,10.7,205,0.0,0.0
KXHIGHTOKC,2024-12-08,60.7,43.2,44.1,969.1,60,14.0,192,0.0,0.0
KXHIGHTOKC,2024-12-09,51.7,41.2,45.5,967.0,68,9.6,37,0.035,0.0
KXHIGHTOKC,2024-12-10,44.2,33.2,25.6,978.2,37,12.2,337,0.0,0.0
KXHIGHTOKC,2024-12-11,47.8,30.8,21.9,981.6,1,8.7,251,0.0,0.0
KXHIGHTOKC,2024-12-12,57.1,39.0,22.8,978.0,75,13.7,193,0.0,0.0
KXHIGHTOKC,2024-12-13,60.4,48.7,42.6,976.6,95,16.9,173,0.004,0.0
KXHIGHTOKC,2024-12-14,57.0,45.3,42.3,976.1,34,13.4,227,0.232,0.0
KXHIGHTOKC,2024-12-15,66.0,42.5,43.3,973.7,59,12.1,186,0.0,0.0
KXHIGHTOKC,2024-12-16,63.3,46.5,42.1,976.3,37,11.8,353,0.031,0.0
KXHIGHTOKC,2024-12-17,63.5,39.4,38.9,976.7,21,9.3,186,0.0,0.0
KXHIGHTOKC,2024-12-18,52.2,33.5,28.6,985.0,7,14.5,346,0.0,0.0
KXHIGHTOKC,2024-12-19,53.5,34.0,30.9,981.3,24,10.6,210,0.0,0.0
KXHIGHTOKC,2024-12-20,45.0,30.5,19.4,986.6,6,10.5,4,0.0,0.0
KXHIGHTOKC,2024-12-21,45.5,27.0,23.1,983.6,0,6.7,137,0.0,0.0
KXHIGHTOKC,2024-12-22,57.9,34.9,33.7,977.6,7,12.4,173,0.0,0.0
KXHIGHTOKC,2024-12-23,59.5,49.8,48.2,974.4,86,12.3,163,0.11,0.0
KXHIGHTOKC,2024-12-24,53.7,45.7,47.7,976.3,100,9.5,35,0.413,0.0
KXHIGHTOKC,2024-12-25,46.8,43.8,42.5,974.1,100,5.6,47,0.004,0.0
KXHIGHTOKC,2024-12-26,52.3,44.9,46.1,970.3,77,4.9,66,0.055,0.0
KXHIGHTOKC,2024-12-27,56.4,41.4,44.6,965.3,82,7.5,200,0.0,0.0
KXHIGHTOKC,2024-12-28,59.1,46.2,46.1,967.3,58,8.2,41,0.004,0.0
KXHIGHTOKC,2024-12-29,58.7,42.5,42.5,969.3,54,7.4,284,0.0,0.0
KXHIGHTOKC,2024-12-30,65.6,47.1,39.9,961.2,2,14.3,257,0.0,0.0
KXHIGHTOKC,2024-12-31,51.0,37.4,31.9,975.7,40,13.3,341,0.0,0.0
KXHIGHTOKC,2025-01-01,40.5,26.7,26.2,983.5,16,6.7,20,0.0,0.0
KXHIGHTOKC,2025-01-02,48.3,32.0,31.1,980.1,34,7.4,185,0.0,0.0
KXHIGHTOKC,2025-01-03,47.8,30.3,31.9,984.6,11,7.2,55,0.0,0.0
KXHIGHTOKC,2025-01-04,55.0,38.8,42.9,974.0,96,13.0,145,0.02,0.0
KXHIGHTOKC,2025-01-05,59.4,18.9,26.3,970.8,93,19.8,313,0.024,0.0
KXHIGHTOKC,2025-01-06,26.8,13.5,2.1,986.0,22,14.8,341,0.0,0.0
KXHIGHTOKC,2025-01-07,30.0,13.3,4.7,989.8,46,8.9,356,0.0,0.0
KXHIGHTOKC,2025-01-08,35.9,18.0,14.0,989.1,12,7.9,313,0.0,0.0
KXHIGHTOKC,2025-01-09,31.1,29.0,23.6,977.5,84,9.2,176,0.327,2.287
KXHIGHTOKC,2025-01-10,30.6,24.9,25.4,975.5,49,12.2,323,0.098,0.689
KXHIGHTOKC,2025-01-11,35.8,24.4,23.8,967.2,0,12.3,196,0.0,0.0
KXHIGHTOKC,2025-01-12,38.2,26.1,26.6,972.4,15,10.2,344,0.0,0.0
KXHIGHTOKC,2025-01-13,40.5,25.0,18.3,983.9,0,7.0,201,0.0,0.0
KXHIGHTOKC,2025-01-14,49.4,32.5,25.0,983.7,9,8.6,220,0.0,0.0
KXHIGHTOKC,2025-01-15,47.6,26.6,27.1,986.0,0,6.3,320,0.0,0.0
KXHIGHTOKC,2025-01-16,54.8,34.8,23.3,980.7,0,9.5,232,0.0,0.0
KXHIGHTOKC,2025-01-17,62.1,41.6,29.7,963.2,33,16.3,196,0.043,0.0
KXHIGHTOKC,2025-01-18,41.7,21.6,15.7,975.2,47,16.0,358,0.0,0.0
KXHIGHTOKC,2025-01-19,25.5,13.2,0.4,988.1,16,14.1,358,0.0,0.0
KXHIGHTOKC,2025-01-20,27.9,17.1,4.7,990.2,100,10.0,78,0.016,0.11
KXHIGHTOKC,2025-01-21,28.0,5.4,-1.6,992.7,8,13.1,215,0.004,0.028
KXHIGHTOKC,2025-01-22,39.7,24.0,11.4,979.6,12,14.2,220,0.0,0.0
KXHIGHTOKC,2025-01-23,38.9,26.1,17.3,986.7,13,9.1,321,0.0,0.0
KXHIGHTOKC,2025-01-24,49.0,22.5,12.1,980.2,0,11.7,196,0.0,0.0
KXHIGHTOKC,2025-01-25,50.6,37.8,16.7,976.0,87,13.7,194,0.0,0.0
KXHIGHTOKC,2025-01-26,41.7,30.1,17.5,983.6,63,8.6,19,0.008,0.055
KXHIGHTOKC,2025-01-27,45.4,20.4,13.6,981.3,2,7.2,285,0.0,0.0
KXHIGHTOKC,2025-01-28,55.7,33.8,21.4,975.0,63,7.0,235,0.0,0.0
KXHIGHTOKC,2025-01-29,52.2,45.5,43.1,972.4,100,7.4,150,0.303,0.0
KXHIGHTOKC,2025-01-30,61.2,48.0,48.0,965.7,65,8.5,227,0.028,0.0
KXHIGHTOKC,2025-01-31,55.0,39.2,35.4,971.0,42,12.7,325,0.0,0.0
KXHIGHTOKC,2025-02-01,64.2,35.0,32.1,974.3,22,13.0,171,0.0,0.0
KXHIGHTOKC,2025-02-02,67.2,43.0,30.3,969.6,56,12.2,193,0.0,0.0
KXHIGHTOKC,2025-02-03,81.4,52.9,32.4,968.9,0,12.6,215,0.0,0.0
KXHIGHTOKC,2025-02-04,54.9,35.1,33.4,978.4,69,10.6,17,0.0,0.0
KXHIGHTOKC,2025-02-05,62.8,35.5,40.5,972.5,73,12.5,184,0.004,0.0
KXHIGHTOKC,2025-02-06,52.2,40.1,42.7,971.4,65,10.9,357,0.008,0.0
KXHIGHTOKC,2025-02-07,58.6,37.8,39.7,972.7,74,6.4,151,0.0,0.0
KXHIGHTOKC,2025-02-08,59.5,39.3,41.3,971.2,38,17.3,328,0.0,0.0
KXHIGHTOKC,2025-02-09,44.0,29.7,24.7,981.7,30,10.2,27,0.0,0.0
KXHIGHTOKC,2025-02-10,39.0,29.2,28.0,981.1,97,6.3,74,0.039,0.0
KXHIGHTOKC,2025-02-11,41.9,33.7,31.0,973.4,100,9.8,30,0.031,0.0
KXHIGHTOKC,2025-02-12,33.3,18.1,21.3,970.4,100,12.1,356,0.228,0.606
KXHIGHTOKC,2025-02-13,29.7,11.9,7.3,985.8,57,10.8,7,0.0,0.0
KXHIGHTOKC,2025-02-14,47.8,24.6,26.8,978.0,64,16.0,177,0.0,0.0
KXHIGHTOKC,2025-02-15,49.3,28.2,37.5,967.7,90,15.6,297,0.055,0.165
KXHIGHTOKC,2025-02-16,33.6,20.8,13.1,982.3,28,14.8,349,0.0,0.0
KXHIGHTOKC,2025-02-17,44.3,24.5,19.7,977.8,93,9.9,138,0.0,0.0
KXHIGHTOKC,2025-02-18,33.3,7.0,10.9,981.0,98,14.4,13,0.13,0.909
KXHIGHTOKC,2025-02-19,10.2,3.0,0.4,992.4,100,14.1,2,0.004,0.028
KXHIGHTOKC,2025-02-20,15.7,2.7,-1.2,993.1,30,9.8,23,0.0,0.0
KXHIGHTOKC,2025-02-21,30.1,6.2,4.8,990.6,25,5.9,83,0.0,0.0
KXHIGHTOKC,2025-02-22,50.0,20.6,15.4,983.2,0,7.3,198,0.0,0.0
KXHIGHTOKC,2025-02-23,59.5,31.7,27.9,976.1,3,8.2,202,0.0,0.0
KXHIGHTOKC,2025-02-24,68.2,39.6,38.8,971.5,41,9.6,203,0.0,0.0
KXHIGHTOKC,2025-02-25,74.0,42.4,41.0,969.9,23,10.9,190,0.0,0.0
KXHIGHTOKC,2025-02-26,64.2,51.0,39.9,969.8,48,13.9,5,0.0,0.0
KXHIGHTOKC,2025-02-27,65.2,42.1,26.1,980.6,35,7.2,324,0.0,0.0
KXHIGHTOKC,2025-02-28,74.2,45.3,23.0,973.3,0,11.9,234,0.0,0.0
KXHIGHTOKC,2025-03-01,65.0,46.0,27.2,975.4,2,9.0,73,0.0,0.0
KXHIGHTOKC,2025-03-02,67.4,45.0,34.4,972.9,74,16.2,136,0.154,0.0
KXHIGHTOKC,2025-03-03,67.9,47.7,48.7,965.2,79,18.0,164,0.0,0.0
KXHIGHTOKC,2025-03-04,64.0,40.8,42.5,953.0,69,22.6,251,0.776,0.0
KXHIGHTOKC,2025-03-05,52.1,34.5,24.6,971.7,8,19.9,318,0.0,0.0
KXHIGHTOKC,2025-03-06,59.7,37.6,29.4,970.0,98,17.1,162,0.0,0.0
KXHIGHTOKC,2025-03-07,68.5,47.7,36.6,964.9,37,16.3,252,0.0,0.0
KXHIGHTOKC,2025-03-08,45.3,37.7,35.3,975.4,75,12.5,29,0.406,0.0
KXHIGHTOKC,2025-03-09,57.7,36.4,35.0,977.0,28,6.9,303,0.394,0.0
KXHIGHTOKC,2025-03-10,69.9,40.4,37.7,971.7,0,11.4,209,0.0,0.0
KXHIGHTOKC,2025-03-11,72.9,47.9,35.7,964.6,0,11.4,198,0.0,0.0
KXHIGHTOKC,2025-03-12,72.5,51.0,34.9,961.1,40,10.0,207,0.0,0.0
KXHIGHTOKC,2025-03-13,81.7,48.1,35.6,962.6,28,12.6,219,0.0,0.0
KXHIGHTOKC,2025-03-14,70.7,60.6,24.0,951.8,5,26.6,217,0.0,0.0
KXHIGHTOKC,2025-03-15,58.7,46.0,29.9,957.2,98,11.7,327,0.0,0.0
KXHIGHTOKC,2025-03-16,60.9,33.1,20.3,972.8,14,8.1,294,0.0,0.0
KXHIGHTOKC,2025-03-17,78.3,49.4,28.3,972.9,27,15.4,198,0.0,0.0
KXHIGHTOKC,2025-03-18,81.3,60.2,38.1,962.2,69,19.7,193,0.0,0.0
KXHIGHTOKC,2025-03-19,73.9,43.4,23.9,967.4,67,25.3,294,0.0,0.0
KXHIGHTOKC,2025-03-20,58.5,35.9,24.3,980.6,56,12.1,299,0.0,0.0
KXHIGHTOKC,2025-03-21,69.6,47.5,23.1,971.9,50,15.2,209,0.0,0.0
KXHIGHTOKC,2025-03-22,77.9,48.5,29.8,969.8,35,15.7,151,0.0,0.0
KXHIGHTOKC,2025-03-23,70.2,57.7,30.4,968.9,88,15.9,329,0.0,0.0
KXHIGHTOKC,2025-03-24,72.8,45.4,27.6,973.6,57,10.5,216,0.0,0.0
KXHIGHTOKC,2025-03-25,78.2,56.1,36.0,975.9,19,10.1,100,0.0,0.0
KXHIGHTOKC,2025-03-26,81.5,58.4,47.1,978.1,18,10.2,155,0.0,0.0
KXHIGHTOKC,2025-03-27,80.8,58.5,54.5,974.3,37,13.1,185,0.0,0.0
KXHIGHTOKC,2025-03-28,74.1,58.4,55.1,969.0,63,12.3,181,0.012,0.0
KXHIGHTOKC,2025-03-29,83.8,59.2,59.2,962.5,86,17.4,184,0.0,0.0
KXHIGHTOKC,2025-03-30,66.4,45.7,43.7,966.4,68,10.6,354,0.571,0.0
KXHIGHTOKC,2025-03-31,60.4,43.7,40.3,972.7,52,10.0,27,0.0,0.0
KXHIGHTOKC,2025-04-01,80.6,48.1,50.8,960.4,92,22.1,168,0.0,0.0
KXHIGHTOKC,2025-04-02,72.1,58.2,49.3,957.6,73,18.4,220,0.28,0.0
KXHIGHTOKC,2025-04-03,57.9,49.6,43.4,969.5,97,12.5,64,0.22,0.0
KXHIGHTOKC,2025-04-04,58.1,48.3,48.6,970.6,100,13.1,17,0.37,0.0
KXHIGHTOKC,2025-04-05,51.1,41.5,38.6,974.6,100,21.6,15,0.728,0.0
KXHIGHTOKC,2025-04-06,48.1,34.5,31.8,977.1,84,12.1,359,0.311,0.772
KXHIGHTOKC,2025-04-07,61.6,37.5,33.5,975.0,0,4.2,310,0.0,0.0
KXHIGHTOKC,2025-04-08,68.1,42.3,40.1,974.7,8,11.3,167,0.0,0.0
KXHIGHTOKC,2025-04-09,74.3,53.2,46.0,971.5,21,14.0,188,0.0,0.0
KXHIGHTOKC,2025-04-10,76.1,54.0,46.9,978.2,2,10.2,355,0.0,0.0
KXHIGHTOKC,2025-04-11,73.7,49.8,35.8,981.0,0,5.6,21,0.0,0.0
KXHIGHTOKC,2025-04-12,81.1,55.1,40.3,973.0,0,16.1,169,0.0,0.0
KXHIGHTOKC,2025-04-13,87.0,66.2,49.3,965.0,28,16.2,202,0.0,0.0
KXHIGHTOKC,2025-04-14,76.5,59.5,37.7,973.5,60,14.4,15,0.0,0.0
KXHIGHTOKC,2025-04-15,66.2,47.0,33.6,982.1,40,7.1,45,0.0,0.0
KXHIGHTOKC,2025-04-16,80.8,53.4,44.7,971.9,10,15.6,181,0.0,0.0
KXHIGHTOKC,2025-04-17,89.3,65.5,58.2,963.4,32,16.6,187,0.0,0.0
KXHIGHTOKC,2025-04-18,79.2,60.3,57.8,964.9,79,16.2,194,0.016,0.0
KXHIGHTOKC,2025-04-19,59.2,52.2,52.0,972.5,100,11.8,33,1.043,0.0
KXHIGHTOKC,2025-04-20,63.8,53.1,52.5,968.3,71,17.1,243,1.913,0.0
KXHIGHTOKC,2025-04-21,74.4,48.9,51.7,973.5,17,9.8,185,0.0,0.0
KXHIGHTOKC,2025-04-22,78.5,56.0,55.4,971.6,41,10.5,171,0.0,0.0
KXHIGHTOKC,2025-04-23,78.6,62.7,57.0,972.0,59,9.7,157,0.0,0.0
KXHIGHTOKC,2025-04-24,75.9,60.7,61.3,971.6,55,10.3,159,0.075,0.0
KXHIGHTOKC,2025-04-25,77.4,59.8,59.9,973.9,51,8.4,152,0.205,0.0
KXHIGHTOKC,2025-04-26,68.9,58.8,59.4,975.1,95,11.3,95,0.854,0.0
KXHIGHTOKC,2025-04-27,79.4,61.1,64.4,972.1,76,15.5,164,0.177,0.0
KXHIGHTOKC,2025-04-28,80.2,69.0,66.7,968.8,78,17.8,184,0.047,0.0
KXHIGHTOKC,2025-04-29,70.5,62.7,63.6,972.2,98,14.1,102,1.063,0.0
